1,Corn,1
2,Cotton,1
3,Rice,1
4,Sorghum,1
5,Soybeans,1
6,Sunflower,1
10,Peanuts,1
11,Tobacco,1
12,Sweet Corn,1
13,Pop or Orn Corn,1
14,Mint,1
21,Barley,1
22,Durum Wheat,1
23,Spring Wheat,1
24,Winter Wheat,1
25,Other small grains,1
26,Dbl crop WinWht/Soybeans,1
27,Rye,1
28,Oats,1
29,Millet,1
30,Speltz,1
31,Canola,1
32,Flaxseed,1
33,Safflower,1
34,Rape Seed,1
35,Mustard,1
36,Alfalfa,1
37,Other Hay/Non Alfalfa---- could be omitted,0
38,Camelina,1
39,Buckwheat,1
41,Sugarbeets,1
42,Dry Beans,1
43,Potatoes,1
44,Other Crops,1
45,Sugarcane,1
46,Sweet Potatoes,1
47,Misc Vegs & Fruits,1
48,Watermelons,1
49,Onions,1
50,Cucumbers,1
51,Chick Peas,1
52,Lentils,1
53,Peas,1
54,Tomatoes,1
55,Cranberries,1
56,Hops,1
57,Herbs,1
58,Clover/Wildflowers,1
59,Sod/Grass Seed---- could be omitted,0
60,Switchgrass---- could be omitted,0
61,Fallow/Idle Cropland,1
66,Cherries,1
67,Peaches,1
68,Apples,1
69,Grapes,1
70,Christmas Trees,1
71,Other Tree Crops    ,1
72,Citrus,1
74,Pecans,1
75,Almonds,1
76,Walnuts,1
77,Pears,1
176,Grassland/Pasture,0
121,Developed/Open Space,0
204,Pistachios,1
205,Triticale,1
206,Carrots,1
207,Asparagus,1
208,Garlic,1
209,Cantaloupes,1
210,Prunes,1
211,Olives,1
212,Oranges,1
213,Honeydew Melons,1
214,Broccoli,1
216,Peppers,1
217,Pomegranates,1
218,Nectarines,1
219,Greens,1
220,Plums,1
221,Strawberries,1
222,Squash,1
223,Apricots,1
224,Vetch,1
225,Dbl Crop WinWht/Corn,1
226,Dbl Crop Oats/Corn,1
227,Lettuce,1
229,Pumpkins,1
230,Dbl Crop Lettuce/Drum Wht,1
231,Dbl Crop Lettuce/Cantaloupe,1
232,Dbl Crop Lettuce/Cotton,1
233,Dbl Crop Lettuce/Barley,1
234,Dbl Crop Durum Wht/Sorghum,1
235,Dbl Crop Barley/Sorghum,1
236,Dbl Crop WinWht/Sorghum,1
237,Dbl Crop Barley/Corn,1
238,Dbl Crop WinWht/Cotton,1
239,Dbl Crop Soybeans/Cotton,1
240,Dbl Crop Soybeans/Oats,1
241,Dbl Crop Corn/Soybeans,1
242,Blueberries,1
243,Cabbage,1
244,Cauliflower,1
245,Celery,1
246,Radishes,1
247,Turnips,1
248,Eggplants,1
249,Gourds,1
250,Cranberries,1
254,Dbl Crop Barley/Soybeans,1
